OBJECTID,polygon,Name,Address,MapBlockLot,MBL_Unique,Date,Retrofit_Date,Description,Height_ft,Stories_Above_Grade,Stories_Below_Grade,Occupancy,Structural_Material,Structural_System,Structural_Types,Facade_Material,Foundation_System,BORP_Report,Instrumented,Square_Footage,Fire_Resistence_Type,Percent_Sprinklered,Liquefaction_Potential,BedrockDepth_MEAN,BedrockDepth_MAX,BedrockDepth_MIN,Permit_Date_1,Permit_Date_2,Permit_Date_3,Completion_Date,Building_Code_Year,Base_Plan_Size,Tower_Plan_Size,Typ_Story_Height,Attyp_Story_Height,Architectural_Notes,Atrium_Location,MEP_levels,Site_Class,Foundation_Info,Collected_on,Primary_Source,Shape_Length,Shape_Area
46,"POLYGON ((-122.40386387983415 37.792823542546266, -122.4038638356969 37.79282359282552, -122.40393471939173 37.79317094132412, -122.40436988513706 37.793115119773944, -122.40436993511187 37.793115075708705, -122.40429783954039 37.792768596850074, -122.40386387983415 37.792823542546266))",580 California Street,580 California Street,240007,240007,1982,,23 story WSMF,350,23,2,"Office (Management, Information, Professional Services)",Steel,Dual: Steel Moment Frame and Steel Braced Frame - Concentric,Steel Braced Frame,garnite panel,Mat,TRUE,,359000,Type I - Fire resistive,100,Very High,90,107,77,,,,1982,,140x139,,"12'11""",,,,,,,2.01711E+13,BORP Reports,510.3914533,16282.10631
45,"POLYGON ((-122.39832924675417 37.79088780236412, -122.39853905694602 37.79072298865829, -122.39854041076666 37.79072192866525, -122.39854038288453 37.79072185972097, -122.3984333106421 37.79063796146541, -122.39822699801165 37.790474602317914, -122.39816174886084 37.790527437195855, -122.39816092933441 37.79052678619655, -122.39798331281959 37.790668455231824, -122.39798335591868 37.79066854195548, -122.39798543345573 37.790670204592246, -122.39792744397869 37.790717172752984, -122.39810427176138 37.79085349940917, -122.39813913242075 37.790830630563654, -122.39818040307993 37.79086562528184, -122.39826401823659 37.79093652473402, -122.39830976843122 37.790903260799, -122.39832924675417 37.79088780236412))",455 Market Street,455 Market Street,3709011,3709011,1985,,low-rise: 8-story and 1 basement; high-rise: 23-story and 2 below grade (info below are for high-rise),328,23,2,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,concrete,Pile,TRUE,,374203,Type I - Fire resistive,100,Very High,264,266,261,,,,1985,SF 1975 or UBC1979,138x138,128x115,13',,,,24th and roof,,,2.01711E+13,BORP Reports,501.4558719,14982.06737
44,"POLYGON ((-122.39750895499202 37.789033125279914, -122.39745115678978 37.78907789661108, -122.39744522119277 37.78907279304513, -122.39736381181949 37.78913699949032, -122.39736385028435 37.78913708268396, -122.3973734446639 37.78914444799494, -122.39736828806973 37.78914845484529, -122.39733102086946 37.78914844892233, -122.3973309190457 37.789174375688184, -122.39732880768683 37.789172631574445, -122.39732208721044 37.78917783245804, -122.39731610336 37.789173284807895, -122.39723233188509 37.789238964795494, -122.39723237259716 37.78923904705181, -122.39723761240113 37.78924318581296, -122.39716748057361 37.789297444231615, -122.39716749736317 37.78929747910864, -122.39725146446044 37.78936448216484, -122.39731017281866 37.789413722302875, -122.39732025648456 37.78940592408594, -122.39732997912137 37.78941355229269, -122.39732986846727 37.78944215579498, -122.39732991874405 37.78944225682275, -122.39736663561078 37.789442318467174, -122.39737677315354 37.789450273441545, -122.39736527429639 37.789457929514555, -122.39736531153424 37.78945800912305, -122.39743833036943 37.78951349231404, -122.39751153334377 37.78957182212571, -122.39754696095125 37.78954507001469, -122.39758054679581 37.78957205428089, -122.39786568780013 37.78934966311056, -122.39786567328055 37.78934962819703, -122.39783194844843 37.789323737614225, -122.39786308593413 37.78929877937313, -122.39786306365279 37.7892987517942, -122.39779437601263 37.789243984104715, -122.39779736726527 37.78924172078324, -122.39779733449852 37.78924163839923, -122.39771833771756 37.789177129586456, -122.39771252365819 37.78917238366056, -122.39770573483497 37.789177219774906, -122.39770325072496 37.78917519868684, -122.39770335582783 37.789148383271986, -122.39770331224645 37.78914827763052, -122.39767021139241 37.7891483092993, -122.39766263382654 37.789142144409055, -122.39767002852636 37.78913719851152, -122.39766999346655 37.78913711526323, -122.39758764191166 37.78907067859577, -122.39758239476235 37.789074785145125, -122.3975197799211 37.78902474104383, -122.39750895499202 37.789033125279914))",100 First Street,100 First Street,3721003,3721003,1987,,27 story WSMF,355,27,1,"Office (Management, Information, Professional Services)",Steel,Dual: Steel Moment Frame and Steel Braced Frame - Concentric,Steel Braced Frame,precast concrete panels,Pile,TRUE,,466488,Type I - Fire resistive,100,Very High,244,260,227,,,,1987,,160x150,,"12'7""",,27 story office and 2 story garage,,,,,2.01711E+13,BORP Reports,641.0477278,21952.17047
43,"POLYGON ((-122.38961437410808 37.78995822744738, -122.38961534316118 37.78995913475553, -122.3895932383188 37.78997590903103, -122.3895918743959 37.78997483591983, -122.38959183754386 37.78997481578258, -122.3895608761211 37.78999855503744, -122.3895611739063 37.7899987881845, -122.38954088247468 37.79001417346467, -122.3895409090416 37.7900141910631, -122.38961252099398 37.790073641640475, -122.3895796068254 37.79009833953761, -122.38958097334158 37.790099425224355, -122.38956034603484 37.79011442025902, -122.38956037839215 37.79011444227074, -122.38956094158323 37.7901148856523, -122.38953964456157 37.790131053074, -122.38953967226367 37.790131070654255, -122.38961282740198 37.79018935196672, -122.38957607316937 37.79021804698116, -122.38973606403255 37.79034476227766, -122.38973609514024 37.790344779803284, -122.38977318806464 37.79031582787405, -122.38983196937308 37.790363373513195, -122.3897949827949 37.79039262205639, -122.39006503119315 37.79060760192181, -122.39006507381319 37.790607625571276, -122.39037769277515 37.79036451547877, -122.39034035472733 37.79033426840088, -122.39034251704885 37.79033257731233, -122.39033619307814 37.79032750305374, -122.39035375111571 37.790314308138406, -122.39035755169442 37.79031741766098, -122.3903576104588 37.790317450964835, -122.39035910947071 37.7903163355683, -122.3903787780975 37.790331893233834, -122.39046245209673 37.79026446695603, -122.39044378145492 37.79024970349079, -122.39046749036271 37.79023148393249, -122.39050722625454 37.79026050383036, -122.3905072688974 37.79026052838051, -122.39074088293124 37.79007612522983, -122.39070261153061 37.79004508034096, -122.39070297999454 37.79004478874929, -122.39068389849244 37.79002990033319, -122.39067472403664 37.79002245836142, -122.39066557279027 37.790015035843396, -122.39066831898444 37.79001286135023, -122.39058343001822 37.789945079020164, -122.3905833331061 37.789945019291835, -122.39058128657493 37.78994666346815, -122.39050699366493 37.7898864003035, -122.39050695211155 37.78988637393347, -122.3904697822612 37.78991094655914, -122.39033891835552 37.789809839066905, -122.39037441221708 37.78978384600995, -122.39033461943978 37.78975204404766, -122.3903361913423 37.7897506697367, -122.39006944930364 37.78954012912241, -122.3900694042764 37.789540100104276, -122.38995480741825 37.789627174277264, -122.38984718456716 37.78953506720058, -122.38984714187907 37.7895350408485, -122.38958037731523 37.789748030842595, -122.38958138348207 37.789748834818404, -122.38958101326115 37.789749102102064, -122.38958085439937 37.789748973071376, -122.3895808266974 37.789748955491135, -122.38957218786861 37.789755506035796, -122.38956004975941 37.78976431431107, -122.38956030367459 37.789764519322446, -122.38954075548993 37.789779343857134, -122.3895407820797 37.78977936235639, -122.38961322311712 37.78983878072052, -122.3895794063239 37.789864552907574, -122.38958071853301 37.789865557454554, -122.38956036633903 37.78988074003959, -122.38956112651502 37.78988133797597, -122.38954098622386 37.789897083120934, -122.38961434749531 37.789958208047246, -122.38961437410808 37.78995822744738), (-122.39020405334466 37.790077789357795, -122.3900901465588 37.79016866739872, -122.38980317244068 37.78993821114795, -122.3898408949164 37.78990723219556, -122.38984666430541 37.789911981020175, -122.38984671498557 37.78991200904654, -122.38992066611092 37.78985065992838, -122.39020405334466 37.790077789357795))",Hills Plaza,345 Spear Street,3744002,3744002,1988,,18 story WSMF (pre-Northridge),225,18,2,Mixed Uses (With Residential),Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete precast panels,Pile,TRUE,,751279,Type I - Fire resistive,100,Very High,89,143,36,,,,1988,UBC1984,172x90,90x90,13',,7 story office connected to 18 story residential tower,,,,,2.01711E+13,BORP Reports,1635.541114,72068.28272
42,"POLYGON ((-122.40464739416828 37.79320102729072, -122.40465285790208 37.793200364965045, -122.40470113962587 37.79319452206853, -122.40470118635665 37.79319448436398, -122.40470046656577 37.793190773987575, -122.40470714040218 37.79318995873316, -122.40470923903875 37.79320097999439, -122.40476131861638 37.7931946575635, -122.40476136537028 37.793194620759806, -122.40475922630395 37.79318352895677, -122.40476738920015 37.793182544550135, -122.40476799743325 37.793185713297774, -122.40481866299575 37.79317956418517, -122.4048187108848 37.7931795273631, -122.40481814062534 37.793176643686316, -122.40482866166053 37.79317536884256, -122.40483042928416 37.79318450921357, -122.40488019599168 37.793178471925586, -122.40488024388071 37.793178435103485, -122.40487829977194 37.79316843602599, -122.40488650860704 37.79316742743745, -122.40488714891966 37.79317078401953, -122.40494281067257 37.79316403143847, -122.40494285969675 37.79316399459802, -122.40493223451317 37.793108795814405, -122.40492400293515 37.793109802971266, -122.40492367640894 37.79310809774687, -122.4049224457363 37.7931016496334, -122.40493438895727 37.79310021121552, -122.40493443795832 37.793100173474215, -122.40492680523363 37.793060556057455, -122.40490800445679 37.79306281901756, -122.40490676449667 37.79305636294308, -122.4049165823435 37.793055080525605, -122.40491663470382 37.79305504092763, -122.404903729118 37.79298421412204, -122.40489338700648 37.792985512217705, -122.40489067144982 37.7929716485907, -122.40489864400159 37.79297068257014, -122.4048986951805 37.79297064118881, -122.40488531793814 37.792901348652514, -122.40487715762212 37.792902343840765, -122.40487468987087 37.792889507196065, -122.40488297357747 37.79288845233711, -122.4048830224628 37.79288841009165, -122.40486855124021 37.79281534022407, -122.40486062480556 37.79281633253424, -122.40485946625854 37.7928103050218, -122.40487656635564 37.79280824257492, -122.40487661303992 37.79280820306864, -122.40486862041486 37.79276663943682, -122.40485450702853 37.792768344518365, -122.40485312399736 37.792761180599626, -122.40485926258242 37.79276044157344, -122.40485930815456 37.79276040298639, -122.40484899593051 37.792706774455176, -122.40479470295617 37.792713348977, -122.40479465743024 37.79271338936577, -122.40479559007355 37.79271826968093, -122.4047894366877 37.792719007140505, -122.40478752436529 37.79270900664637, -122.40473671944686 37.79271515619993, -122.40473667392091 37.79271519658862, -122.40473832894828 37.79272371153705, -122.40473121692243 37.79272457622921, -122.4047307511877 37.79272222528185, -122.40467510191021 37.792728964949895, -122.40467505638416 37.79272900533861, -122.40467591078766 37.792733492187764, -122.404669267411 37.79273429793701, -122.40466731005829 37.792724090889934, -122.40461422068711 37.792730526025345, -122.40461417518418 37.79273056731484, -122.40461588945199 37.7927395328148, -122.40460834973145 37.79274045938177, -122.4046076851631 37.79273699774821, -122.40455719183292 37.79274312056185, -122.40455714746514 37.79274316183297, -122.40456781142434 37.79279868986587, -122.40457199085157 37.792798166346344, -122.40457345291982 37.79280575616553, -122.40455951841712 37.792807440297885, -122.40455947291412 37.792807481587396, -122.40456739918089 37.79284872277397, -122.40458105719 37.79284706203221, -122.40458195622533 37.79285165089912, -122.40457628987201 37.79285233812376, -122.40457624548105 37.79285237849406, -122.40458698351392 37.79290822525821, -122.40459377036 37.792907389258936, -122.4045955739561 37.792916782292764, -122.40459005350614 37.79291744643344, -122.40459000795683 37.792917485921265, -122.40461105290653 37.7930268919242, -122.40461691160863 37.79302617635729, -122.40461886218031 37.793036296096666, -122.40461343147126 37.79303696149239, -122.40461338589883 37.79303700007938, -122.40462386636358 37.79309152531747, -122.40462914850481 37.79309086772833, -122.40463042023795 37.79309750083078, -122.40461735997182 37.79309908973887, -122.40461731442247 37.7930991292267, -122.40462532896753 37.793140798860186, -122.4046398780933 37.793139032696416, -122.4046411042825 37.793145306951004, -122.40463682148729 37.79314583033988, -122.40463677475651 37.793145868044405, -122.40464739416828 37.79320102729072))",600 California Street,600 California Street,241027,241027,1991,,20 story WSMF (not typical pre-Northridge),270,20,3,Mixed Uses (Without Residential),Steel,Dual: Steel Moment Frame and Steel Braced Frame - Concentric,Steel Braced Frame,Garnite panel,Pile,TRUE,,403629,Type I - Fire resistive,100,Very High,67,75,54,,,,1991,,275x130,,12',,stair-like podium,,,,,2.01711E+13,BORP Reports,615.2463106,14631.52962
40,"POLYGON ((-122.39916627723262 37.78795785609878, -122.3990029582259 37.787843492279805, -122.39898553650924 37.78785958282023, -122.39897903704964 37.78785418920955, -122.39891186911277 37.787906971664235, -122.39891187800302 37.7879070084707, -122.39892285675116 37.78791566532758, -122.39890003360478 37.787934265301594, -122.39888415358391 37.78792746997305, -122.39877307475118 37.78801524970197, -122.39877310651512 37.78801538166848, -122.39877813831369 37.78802111164587, -122.39875994883273 37.78803649084254, -122.39875016789503 37.78802920164531, -122.39869009379639 37.78808003576453, -122.3987771363318 37.78814487218088, -122.39877909258885 37.78814321489247, -122.39902999303018 37.78834403654421, -122.39903354605715 37.78834105218505, -122.3990844667123 37.78838402279108, -122.39914441523912 37.78833573912115, -122.39913625063316 37.78832731362867, -122.39914756250357 37.788317732696754, -122.39916696442447 37.78832795985142, -122.39927695001833 37.78823939348622, -122.3992769273805 37.78823926317529, -122.3992572121468 37.78821580860146, -122.3992759065204 37.78820085828217, -122.39928310993398 37.7882061567249, -122.39935684051925 37.78814853788714, -122.39935681676921 37.788148408495296, -122.39935053159088 37.78814331425966, -122.39936236579973 37.78813333466722, -122.39936897411089 37.78813863097549, -122.39937209409997 37.7881361654694, -122.39937331348774 37.78813704433387, -122.39942692977442 37.788093917412056, -122.39942691910355 37.788093855400355, -122.3994206073965 37.78808878953332, -122.3994311006304 37.78807992650763, -122.39943835586342 37.788085741401446, -122.39944968496876 37.78807679281161, -122.39946274724623 37.78808752218505, -122.39948485157089 37.788070213401404, -122.3994942290019 37.788077618085936, -122.39958366711623 37.78800625311401, -122.39958366415465 37.78800622612539, -122.39933839163226 37.78781261118125, -122.39933957669416 37.787811571018906, -122.3993335054524 37.787806670701556, -122.39933303478568 37.78780709374181, -122.39916627723262 37.78795785609878))",101 2nd Street,101 2nd Street,3721089,3721089,1999,,25 story glass building,340,25,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,glass,Pile,TRUE,,441412,Type I - Fire resistive,100,Very High,246,262,222,,,,1999,,199x160,,,,,,26th and 27th,,,2.01711E+13,BORP Reports,781.9305125,26712.98794
39,"POLYGON ((-122.39790491540532 37.78528643070632, -122.39764061261842 37.785492423809984, -122.39764062509715 37.7854924677685, -122.39767754044972 37.785522503082774, -122.39767624595 37.78552352606505, -122.39767626477175 37.785523596056585, -122.39773704166005 37.785572260149365, -122.39773691363507 37.78557236044208, -122.397736947367 37.78557248066145, -122.3977563655485 37.78558773473371, -122.39784162867849 37.785656006128434, -122.39792993230434 37.785727850487795, -122.39792880034943 37.78572874648908, -122.39796346300004 37.785756337845115, -122.39838116248757 37.78542570332753, -122.39836475387452 37.78541264401443, -122.39836591139648 37.785411726869235, -122.39836590111844 37.7854116801717, -122.39830526338993 37.78536385138205, -122.39827467037479 37.785339494839434, -122.39827485180008 37.78533935132947, -122.3982748247167 37.78533922469467, -122.39815587610346 37.785242804057994, -122.39815454586845 37.78524385015133, -122.39810339106756 37.78520311973897, -122.39809259492755 37.78519452385578, -122.39809159098363 37.785195318664776, -122.39805691192417 37.785167965531066, -122.39790491540532 37.78528643070632))",Hawthorne Plaza,75 Hawthorne Street,3735062,3735062,1987,,20 story concrete paneled tower with setbacks and glass near top,270,21,2,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,"concrete, glass",Mat,,,441500,Type I - Fire resistive,100,Very High,81,108,51,1985,,,1987,1975,,12.5,ground: 19,,,,,,,2.01711E+13,Plans at DBI,608.2077183,22664.52123
38,"POLYGON ((-122.39415541028612 37.79176189022207, -122.39421586135879 37.79180907075264, -122.39416579012548 37.79184959772654, -122.39443841956138 37.792062428330304, -122.39443853276262 37.792062503114416, -122.3947060424614 37.7918459898585, -122.39443246553424 37.79163247665065, -122.39443235326203 37.79163239374075, -122.39438557253676 37.79167026254933, -122.39432615850053 37.79162389095226, -122.39432604395809 37.79162380807873, -122.39415541028612 37.79176189022207))",123 Mission Street,123 Mission Street,3717022,3717022,1987,,29 story concrete paneled tower,425,29,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,concrete panel,Pile,,,405000,Type I - Fire resistive,99,Very High,266,270,260,1984,,,1987,,,13',ground: 21.5,,,"2, 3",,,,2.01711E+13,Plans at DBI,490.8998746,13937.56367
37,"POLYGON ((-122.39347672106828 37.791936270114114, -122.39347680408756 37.79193631924871, -122.39349199651619 37.791936578159884, -122.39349102820921 37.79194799491016, -122.39355274186182 37.791997625715, -122.39355282374599 37.79199767486777, -122.39358472730547 37.791997136395075, -122.3936472242483 37.791948691264835, -122.39364700010164 37.79193602746387, -122.39366267993046 37.79193642812634, -122.39371647128658 37.79189369674752, -122.39371592395518 37.79188198711044, -122.3937311878897 37.79188224484217, -122.39378467866864 37.791840065292085, -122.39378453485907 37.791827969764924, -122.39379932956933 37.79182808632421, -122.39386209313044 37.79177835076591, -122.39386176893184 37.79175392868772, -122.39379979255487 37.79170401567727, -122.39379971516558 37.79170396465008, -122.39378432316353 37.79170442814987, -122.3937855838149 37.79169298777517, -122.39373170063028 37.791650442809626, -122.393731622083 37.79165039089977, -122.3937165033389 37.79165065894584, -122.3937170544903 37.79163891724695, -122.39366198845866 37.791595230489385, -122.39366190986547 37.791595176777754, -122.39364861239358 37.79159583372723, -122.3936485084359 37.79158414220277, -122.39358543966289 37.79153444399118, -122.39358535877652 37.79153438941518, -122.3935548693259 37.791534395097614, -122.39349252365125 37.79158314957653, -122.39349248057617 37.79159544456858, -122.3934783103751 37.791595099850305, -122.39342317095792 37.79163867197043, -122.39342384193847 37.79164948742573, -122.3934090528787 37.79164954646498, -122.39335482919485 37.79169233601643, -122.39335543558893 37.791704048311125, -122.39334014664097 37.79170414420711, -122.3932777914777 37.7917532501905, -122.39327751013123 37.79177811547193, -122.39334042701996 37.79182751347844, -122.39334050894976 37.791827564433056, -122.39335442852122 37.7918272084472, -122.3933546091077 37.791838299435895, -122.39340869442213 37.791881648808946, -122.39340877746422 37.79188169884442, -122.39342299291346 37.79188132187775, -122.39342240894617 37.79189342638714, -122.39347672106828 37.791936270114114))",150 Spear Street,150 Spear Street,3717021,3717021,1983,,18 story concrete paneled tower,240,18,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,"concrete, aluminium",Pile,,,271442,Type I - Fire resistive,100,Very High,255,263,244,1979,,,1983,,,13',ground: 19',,,,,,,2.01711E+13,Plans at DBI,519.6046908,15603.29571
36,"POLYGON ((-122.40004839387183 37.789322537186656, -122.39985650152974 37.789164652240785, -122.39982675530206 37.78914018510923, -122.39977222850467 37.78918125588333, -122.3997268483622 37.789145598845984, -122.39967717851239 37.78918196540417, -122.3996765084849 37.78918143186768, -122.39966854827789 37.78918770547602, -122.39963861394409 37.78916396229744, -122.39961535869848 37.78918299203197, -122.3995820056836 37.78915740776899, -122.3995632045918 37.78917303215409, -122.39956187786082 37.78917195314951, -122.39953892034995 37.78918992635858, -122.39953479986735 37.789186665468975, -122.3994259924095 37.789273119549634, -122.39942601333676 37.78927322735784, -122.3994292349804 37.789275799786196, -122.39939845418766 37.7892998983555, -122.39939847506875 37.789300004362055, -122.39940007130973 37.78930127549089, -122.39939071081365 37.789308434997174, -122.39938287133143 37.78930246999706, -122.39922472326887 37.78942447209416, -122.39922472859277 37.789424502649574, -122.39936932080462 37.78953869291758, -122.3994843345649 37.78944556999198, -122.39965638300708 37.78958227324882, -122.3996804615506 37.78956359343309, -122.39971432682485 37.789590371631995, -122.39976641939238 37.78954784320197, -122.39976640585157 37.78954775780507, -122.39976533244842 37.789546904529914, -122.39986754707289 37.7894679264752, -122.39986846741098 37.7894686560462, -122.39992220758258 37.78942701572511, -122.39992219737789 37.789426927570865, -122.39991673008979 37.78942255917835, -122.39992231840804 37.78941834248582, -122.40004839387183 37.789322537186656))",Stevenson Place,71 Stevenson Street,3708028,3708028,1986,,25 story concrete paneled tower,373.5,25,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Space,Steel Moment Frame,concrete panel,Pile,,,395000,Type I - Fire resistive,100,Moderate,271,273,267,1984,,,1986,1975,,13',,"transitions to perimeter frame at level 4, set backs along height",,,,,,2.01711E+13,Plans at DBI,680.4893266,21515.47161
27,"POLYGON ((-122.39726303383583 37.790767277995506, -122.39727559416927 37.79075693367026, -122.39728161169617 37.790761861092086, -122.39728789820832 37.790757181788614, -122.3973003615202 37.79076717483454, -122.3973123753783 37.790757088032585, -122.39731854522941 37.79076242124985, -122.3973552664986 37.790733918072085, -122.39735662860792 37.79073509296134, -122.397509539447 37.79061416369832, -122.39755537705514 37.79057858253854, -122.39755532103246 37.79057847889974, -122.3975486780105 37.79057311635979, -122.39756099578243 37.79056323732595, -122.39756093748942 37.79056313372363, -122.39754933828412 37.79055313671208, -122.39755483203406 37.79054872158932, -122.39755477601139 37.790548617950456, -122.39754904370439 37.79054414196487, -122.39756239149264 37.79053399671931, -122.39756233433484 37.79053389309873, -122.39754955941578 37.79052432686139, -122.39755521810353 37.79051965584404, -122.39755516094576 37.790519552223444, -122.3975188775134 37.79049114328778, -122.3975188227641 37.79049104503568, -122.39724876132607 37.790275644116356, -122.39724717225154 37.79027691966436, -122.39721112934923 37.790247603753414, -122.39720516839438 37.790252089462584, -122.397193115898 37.79024181492804, -122.39718020375945 37.790252343346886, -122.39717447977274 37.79024770228818, -122.39716884610695 37.79025206376962, -122.39715623814031 37.790242716502256, -122.39714366899204 37.79025244633321, -122.39713555510374 37.79024600525599, -122.39690227565748 37.79043238237361, -122.39690234425792 37.79043248941526, -122.3969102618629 37.79043835959503, -122.39689753720906 37.7904477836861, -122.3968976057865 37.79044788982686, -122.39691000947474 37.79045777572688, -122.39690412613655 37.79046267833308, -122.39690419469098 37.790462783573005, -122.39691024018738 37.790467518605496, -122.39689714919632 37.79047736134424, -122.39689721888587 37.7904774665659, -122.39691017500083 37.79048723903838, -122.39690402578796 37.79049195847002, -122.39690409434242 37.790492063709955, -122.39696047605104 37.79053568635758, -122.39696059182903 37.790535595275145, -122.39721025102281 37.79073380739459, -122.3972104859383 37.79073362337269, -122.39724463974763 37.790761753047306, -122.39725068664207 37.79075685139754, -122.39726303383583 37.790767277995506))",50 Fremont Street,50 Fremont Street,3709019,3709019,1983,,,603,43,1,"Office (Management, Information, Professional Services)",Steel,Steel Moment Frame - Perimeter,Steel Moment Frame,concrete panels,Pile,TRUE,,850000,Type I - Fire resistive,100,Very High,266,268,262,1981,,,1983,,120x170,,13,"1st: 22'6"", 16.5th: 21', 43rd: 20'10""",,,,,,2.01711E+13,BORP Reports,595.2487948,20974.82226
10,"POLYGON ((-122.39287284808928 37.787230757947015, -122.39290400117426 37.787257391442836, -122.39287610507814 37.787279591801614, -122.39301772520028 37.787391919616944, -122.39326078754799 37.7872004183163, -122.39334832700573 37.78712409952921, -122.39319271452025 37.78699587412905, -122.39318333955526 37.786989782879125, -122.39306003869011 37.78708650144846, -122.39296331659344 37.78701014653419, -122.39295045220048 37.78699791366611, -122.39297031945343 37.78698220743715, -122.3929178101801 37.78694240047437, -122.39293343981495 37.78692715250828, -122.39290945292885 37.78687278999018, -122.39285785661586 37.78683092800471, -122.39279538390085 37.78678024382121, -122.39277495124513 37.786791676547416, -122.39275573700141 37.78677927162704, -122.39272447932399 37.786805954464846, -122.39274368719535 37.786824079473426, -122.39259221589039 37.786936520775456, -122.39257300186932 37.78692220886137, -122.39253212594035 37.78695651616396, -122.3925537410102 37.786971781776636, -122.39252480824261 37.78699309477986, -122.39258130094426 37.787039943114294, -122.39258132195015 37.7870399653074, -122.39275152822108 37.78717297426033, -122.39274190114622 37.78717957966597, -122.39283916195272 37.787255908086834, -122.39287284808928 37.787230757947015))",340 Fremont Street,340 Fremont Street,3748390,3748390,2017,,RC shear wall building with 9 story podium (west of building),400,42,4,Residential,RC,RC Shear Wall,RC Shear Wall,glass,Mat,,,290000,Type I - Fire resistive,100,Moderate,31,38,26,2005,,,2017,2010,202x135,111x86,"9'8""","B0 to 1: 11'10""; 1 to 2: 14'2""",podium on west side,2 story atrium,42 story (top),,mat on bedrock with varied thickness,2.0171E+13,Plans at DBI,777.0663461,22935.05383
